,bands,spotify_id,musicbrainz_id,gracenote_era,member_count,spotify_popularity,spotify_genre,spotify_track_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lastfm_play_count,lastfm_listener_count,played_warped
33,Duke Dumont,61lyPtntblHJvA7FMMhi7E,6060d1bb-94f8-4863-89b9-425487f2f6b2,2000,1,69,deep groove house,50.0,0.0244337,0.6572,266758.0,0.772,0.12669545,6.0,0.19626,-5.8196,0.0,0.06466,121.8622,3.0,0.5413,3594617,375997,0
34,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,e07a111e-4e8a-4651-a849-01ac60551ab2,2010,1,61,alternative rock,50.0,0.3687,0.5054,330485.0,0.5741,0.5132381,6.0,0.13964,-10.5428,0.0,0.03076,100.4045,4.0,0.53512,13575534,412226,0
35,Die Antwoord,6urkHDoIVO1WO8vNIwcJmM,7e07ffb5-c0f6-4891-a74d-a5e12a247785,2010,3,69,african rock,55.0,0.084919,0.7996,238600.0,0.7278,0.00178772,6.0,0.28005,-6.7102,0.0,0.2507,134.8081,4.0,0.4401,20964470,467284,0
36,The Joy Formidable,4LdZNE5MHGqvc0N9ivXNF3,072d4c31-8fd7-4073-9efc-7e192b517906,2010,4,46,garage rock,34.0,0.00510254,0.4306,265228.0,0.886,0.1595972,6.0,0.2583,-5.0305,0.0,0.06493,145.0148,3.0,0.3113,6396878,372080,0
37,Chairlift,7hAolICGSgXJuM6DUpK5rp,a3cd61ef-7fd4-44af-a27f-99641a82b22b,2000,2,56,alternative dance,46.0,0.098193,0.6258,231505.0,0.6616,0.00661759,5.0,0.12724,-6.8862,0.0,0.09242,143.0422,3.0,0.6258,8862187,550642,0
38,Frightened Rabbit,6fVcDUckTwxqg56qNsEvUr,dc21d171-7204-4759-9fd0-77d031aeb40c,2000,3,57,chamber pop,43.0,0.246993,0.3819,234909.0,0.7459,0.1191776,4.0,0.14198,-6.2748,1.0,0.04492,127.6561,4.0,0.33398,18406824,563240,0
39,MuteMath,1J9Z9bhqkgyqseEi85cbyx,6e855495-c063-4052-a26d-959c3f226c87,2000,4,59,dreamo,44.0,0.0444895,0.5484,236064.0,0.8172,0.020209184,4.0,0.25532,-4.9511,0.0,0.06829,127.6735,3.0,0.4807,12023957,472640,0
40,St. Lucia,5WId4o5jdGVhptNU0uqKxu,d996eadd-029d-4478-aa4b-fc9446653548,2010,1,61,alternative dance,47.0,0.0782711,0.564,271617.0,0.8464,0.000205278,3.0,0.2883,-5.7388,0.0,0.058,121.8977,4.0,0.4677,3797407,311204,0
41,Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,d8fd8d9b-473b-4f06-83c8-869b1bb9de89,2010,1,81,deep pop r&b,73.0,0.154246,0.6226,216599.0,0.5233,2.01e-07,5.0,0.17299,-7.3609,0.0,0.16803,130.7526,4.0,0.3777,0,0,0
42,X Ambassadors,3NPpFNZtSTHheNBaWC82rB,298f4089-1948-44b5-b5e8-d5381f42362f,2010,4,82,folk-pop,61.0,0.0406598,0.4717,212507.0,0.7169,0.00801005,5.0,0.28919,-5.6528,0.0,0.11046,126.1946,3.0,0.36885,2806295,273203,0
43,Frank Turner,27M9shmwhIjRo7WntpT9Rp,aca5718f-4f49-4439-b8f6-209db3f11757,2010,4,0,0,41.0,0.096851,0.5467,221097.0,0.8242,0.0,4.0,0.21343,-5.0548,1.0,0.05166,123.2693,4.0,0.581,20087625,392516,0
44,Wavves,6bUJpbekaIlq2fT5FMV2mQ,763cf642-45ad-42ed-a1c3-e977eaa3b260,2000,1,55,alt-indie rock,43.0,0.0026017,0.415,195711.0,0.9172,0.127621681,6.0,0.2178,-4.3594,0.0,0.07383,134.785,4.0,0.4339,15727373,441325,0
45,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,97e69730-3791-423b-9770-287261588854,2010,1,84,dance pop,66.0,0.184993,0.5461,214543.0,0.6658,2.69e-05,4.0,0.13191,-5.4899,0.0,0.17753,118.7059,4.0,0.419,0,0,0
46,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,2aaf7396-6ab8-40f3-9776-a41c42c8e26b,2000,7,63,alternative dance,54.0,0.09449527,0.6919,364586.0,0.6957,0.2419175,6.0,0.11247,-7.3052,0.0,0.04629,132.207,3.0,0.63448,41530308,1491250,0
47,Adventure Club,5CdJjUi9f0cVgo9nFuJrFa,b9696d80-70c9-4c3d-be9d-8a525b125d23,2010,1,62,bass trap,49.0,0.061095,0.5606,250621.0,0.7491,0.025763798,6.0,0.14086,-4.6221,0.0,0.0569,121.978,3.0,0.21643,1946460,174738,0
48,The Last Shadow Puppets,2Z7UcsdweVlRbAk5wH5fsf,8a3e1c4f-59a8-457a-826c-fe961419a8ae,2000,2,65,alt-indie rock,45.0,0.04820539,0.3832,220441.0,0.7508,0.000762089,6.0,0.34332,-6.9339,0.0,0.06149,123.9373,3.0,0.5338,24739710,828728,0
49,Flosstradamus,2FmzVitXZjIkFolH8HXd4j,8ca3f991-47c7-4506-8fa2-327e376c71b4,2010,2,60,bass trap,50.0,0.102536,0.6248,208728.0,0.8849,0.075749972,4.0,0.30574,-4.3987,0.0,0.15843,144.8287,4.0,0.5021,1258556,142492,0
0,Lindsey Stirling,378dH6EszOLFShpRzAQkVM,53e40f93-f4af-4f8c-819c-7bbe4b6f0a1c,2010,2,73,bow pop,57.0,0.1915328,0.4975,236054.0,0.6961,0.042205039,6.0,0.19611,-6.3788,0.0,0.04711,130.1275,3.0,0.34591,10961765,251086,0
1,Excision,5FKchcZpQOkqFvXBj1aCvb,733c6e6f-0306-403e-9243-82b16a4f82d8,2000,1,65,bass trap,55.0,0.01151759,0.4189,258219.0,0.9115,0.31326365,3.0,0.256,-2.5958,0.0,0.2061,145.5501,4.0,0.18688,2503311,316693,0
2,ZHU,28j8lBWDdDSHSSt5oPlsX2,eca0569c-877e-4d72-a280-90581c2adfd5,2010,1,72,deep tropical house,59.0,0.052143,0.7362,243213.0,0.6783,0.13132,5.0,0.17081,-6.4974,0.0,0.05245,116.0911,4.0,0.48,3618800,329597,0
3,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,5b8ec72b-9e39-4a06-a2bf-964166b92a71,2010,1,84,dwn trap,67.0,0.109117,0.575,244907.0,0.5033,4.065e-05,6.0,0.2343,-9.719,0.0,0.12719,121.2021,3.0,0.2844,1072272,95705,0
4,Vince Staples,68kEuyFKyqrdQQLLsmiatm,78e854b8-9713-4ff2-9218-6b3784893bff,2010,1,70,dirty south rap,55.0,0.26539,0.706,219883.0,0.6326,0.00142849,7.0,0.23697,-7.4871,0.0,0.26965,119.4127,4.0,0.3904,4587657,130074,0
5,Cashmere Cat,2LZDXcxJWgsJfKXZv9a5eG,8fbcd70f-bf1e-4624-b94a-fcff6b0c637e,0,1,76,downtempo,51.0,0.26411,0.6127,244640.0,0.6438,0.19563767,3.0,0.12378,-6.1013,0.0,0.06205,130.3394,4.0,0.3554,1929030,218395,0
6,Cherub,00dwwnz3V4kRfu3UFYpJLz,abf42fca-8c2e-4d55-9fc8-6b1fc65a80f1,2010,1,60,alternative dance,47.0,0.24656,0.759,278119.0,0.6626,0.008548682,5.0,0.19694,-6.7602,0.0,0.09621,116.2421,4.0,0.3922,1174771,132918,0
7,Vic Mensa,27w1NoOLMX7tJMYqcetPyG,e031ec18-f8eb-46c1-b03c-e5c71399cb16,2010,1,66,deep underground hip hop,55.0,0.135046,0.6105,263477.0,0.6794,0.0002208,4.0,0.15357,-5.9098,0.0,0.279,117.0004,4.0,0.4073,1247750,107180,0
8,Oliver Heldens,5nki7yRhxgM509M5ADlN1p,df679f1d-2bab-442b-bc67-02a44f9b2adf,2010,1,70,big room,58.0,0.099816,0.6396,198046.0,0.8742,0.24737785,6.0,0.30281,-4.9378,0.0,0.07154,125.1976,4.0,0.5053,1288121,167013,0
9,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,3260ce89-5eb0-4c6a-89c7-379c0dfc2ab9,2010,1,76,dance pop,66.0,0.235147,0.5622,202729.0,0.6023,0.00011414,6.0,0.17493,-6.403,0.0,0.1803,124.2834,4.0,0.4098,0,0,0
10,Yellow Claw,47z7ZrgFoBvVpCnElCE3Zh,759abafc-c4eb-4018-8554-f29a9d842779,2010,1,73,bass trap,57.0,0.093293,0.6765,188546.0,0.8208,0.11614127,4.0,0.20459,-4.1998,0.0,0.05599,125.87,4.0,0.5019,1801778,181888,0
11,Big Gigantic,7o7mC95EDbJKTcPAAs8C3r,f6c003f9-4aae-40ce-8e4c-112d9a1b140c,2000,2,66,brostep,55.0,0.07093,0.5768,229102.0,0.8709,0.140862514,4.0,0.30991,-3.156,0.0,0.11452,112.3117,4.0,0.4597,1431688,145311,0
12,Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,69d9dfd7-19b7-4a75-8a53-9f733fb5d774,2010,1,65,folk-pop,54.0,0.5339,0.536,197451.0,0.4609,0.002827385,6.0,0.13264,-8.3231,0.0,0.03631,121.1147,3.0,0.4594,0,0,0
13,Jack Garratt,1Zp054Jc86WVKCxKEqZGOA,fcba6ab6-4a51-4688-b90b-57d6eab55b46,2010,1,67,indie anthem-folk,50.0,0.139665,0.5132,249742.0,0.5592,0.030565654,5.0,0.21774,-8.6183,0.0,0.13881,104.6196,3.0,0.30527,1843959,185225,0
14,Seven Lions,6fcTRFpz0yH79qSKfof7lp,75c016da-48e4-4992-8a10-b7128189b272,0,1,63,big room,53.0,0.034704,0.4639,289497.0,0.7315,0.088966997,4.0,0.28436,-6.3619,0.0,0.07967,129.9855,3.0,0.22285,2093223,184309,0
